Countries,"International tourism, expenditures for passenger transport items (current US$)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, expenditures for travel items (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)","International tourism, receipts for passenger transport items (current US$)","International tourism, receipts for travel items (current US$)",GDP (current US$),Exports of goods and services (% of GDP)
Switzerland,2387000000,5.3,21441000000,19054000000,11715000,24572000,4.4,21294000000,3300000000,17994000000,7.35539E+11,66.2
Syrian Arab Republic,..,..,..,..,1802000,..,..,..,..,..,21490335086,14.9
Tajikistan,14000000,0.8,24200000.8,10199999.8,1035000,31000,15.3,170899993.9,162000000,8899999.6,7765014424,14.4
Tanzania,80000000,7.9,818000000,738000000,1506000,..,29.7,2465000000,16000000,2449000000,57003713611,14.7
Thailand,2323000000,5.1,14406000000,12083000000,38178000,9966000,18.7,61383000000,5017000000,56366000000,5.06611E+11,64.9
Timor-Leste,16000000,12.4,131000000,115000000,74600,..,64,78000000,..,78000000,1583876200,2.9
Togo,23000000,2.8,65000000,42000000,573000,236000,15.8,269000000,116000000,153000000,7112200725,23.9
Tonga,5199999.8,12.8,41200000.8,36000000,77300,..,45.9,48099998.5,100000,48000000,489235527.4,21.4
Trinidad and Tobago,51000000,1.6,149000000,98000000,501000,..,4.7,541000000,112000000,429000000,23679919655,..
Tunisia,90000000,3.9,954000000,864000000,8299000,2515000,11.9,2320000000,579000000,1741000000,42570270107,45.7
Turkey,1473000000,2.4,6068000000,4595000000,46113000,8383000,15.5,36791000000,11571000000,25220000000,7.78472E+11,31.2
Turkmenistan,..,..,..,..,..,..,..,..,..,..,40765428571,22.7
Turks and Caicos Islands,..,..,..,4199999.8,1463000,..,..,..,..,787000000,1113178000,..
Tuvalu,3700000,18.1,10800000.2,7099999.9,3200,..,..,..,..,5800000.2,42588165,..
Uganda,164000000,5.7,497000000,333000000,1506000,..,25,1522000000,16000000,1506000000,32927025573,15.1
Ukraine,388000000,11.7,8287000000,7899000000,14342000,27977000,3.8,2269000000,824000000,1445000000,1.30891E+11,45.2
United Arab Emirates,..,..,18004099609,..,23092000,18967000,..,34609500000,..,..,4.22215E+11,93
United Kingdom,..,..,..,70729000000,40283000,90571000,..,..,..,49940000000,2.90079E+12,30.5
United States,50678000000,5.7,1.76818E+11,1.2614E+11,169324921.9,158445406.3,9.5,2.41984E+11,41262000000,2.00722E+11,2.06119E+13,12.3
Uruguay,219000000,9.1,1252000000,1033000000,3954000,1947000,15.8,2708000000,88000000,2620000000,64515038268,26.4
Uzbekistan,479000000,11.6,2722000000,2243000000,5346000,8594000,9.3,1314000000,170000000,1144000000,52633143808,27
Vanuatu,4000000,4.6,21000000,17000000,350200,28400,75.3,325000000,30000000,295000000,914727908.1,56.6
"Venezuela, RB",..,..,..,..,..,..,..,..,..,..,..,..
Vietnam,..,2.4,5910000000,..,15498000,..,3.9,10080000000,..,..,2.45214E+11,105.8
Virgin Islands (U.S.),..,..,..,..,1922000,..,..,993000000,..,..,3900000000,53.5
West Bank and Gaza,20000000,9.2,826000000,806000000,606000,..,9.4,245000000,..,301000000,16276600000,16
"Yemen, Rep.",..,..,..,..,..,..,..,..,..,..,21606140907,6.1
Zambia,199000000,4.7,478000000,279000000,1072000,..,..,..,..,742000000,26311590297,38
Zimbabwe,21000000,3.5,269000000,248000000,2580000,2288000,3.7,191000000,9000000,182000000,18115543791,28
Africa Eastern and Southern,5339286589,4.8,13948520115,8732867323,41189145.3,..,10.7,28672643620,5995110898,23088813542,1.01285E+12,25.5
